Location.ID,pca_0,pca_1,pca_2,pca_3
43374,3660.55996234,-25216.7132,1597.56190163,-5799.39715703
43375,12700.9657528,-16165.151517,-1101.65268194,-9086.83931133
43376,6624.10579898,-21178.3818625,-674.434994794,-1215.19154991
43377,7794.66150013,-20167.6509904,-700.708863003,-4593.13457412
43378,12447.4809736,-16467.4573475,-976.762279213,-9467.37567204
43379,12658.4979928,-16323.3372893,-1021.35216421,-9266.66217623
43380,16150.2101529,-12772.8497369,-1507.70943596,7991.22144332
43381,-1368.32555785,-34586.4949916,9227.74540565,-26224.8747933
43382,9411.47127647,-20634.2411243,1431.6402691,-14013.8431484
43383,3531.90624199,-23743.1279882,-546.175980736,3738.24089489
43384,3531.90695129,-23743.1276947,-546.175954174,3738.24105166
43385,-14343.9008897,-40163.1629575,2581.38180176,19906.1450213
43386,-14439.4102767,-40227.0680138,2614.03007264,19816.2931416
43387,14755.7910045,-15092.4679936,77.9417364959,5201.84336203
43388,-7425.29302583,-5340.38600594,32881.9145962,-9574.37398166
43389,6909.49157476,-26929.4581845,7780.64332431,-11122.6556134
43390,15480.9378127,-18188.618807,5198.30068828,-14786.2437312
43391,23289.8749842,-6372.28554352,-2578.43036594,1587.16520002
43392,17054.4714505,-11635.3838142,-2055.83871696,9172.42339312
43393,13363.692227,-21269.8380914,7170.35396062,-18316.0575669
43394,20328.3666031,-11457.3748465,1150.08945682,-5426.11316696
43395,24298.8318625,-5680.64200545,-2710.32803014,2489.53027116
43396,-17325.7852155,-47641.8199617,10219.828969,-4922.07595028
43397,-12174.8554926,-42266.858575,8867.72768069,14333.9808309
43398,5776.18761435,11156.4705109,24820.5686258,-1021.69306574
43399,20096.0479411,-10664.6997505,-234.38763181,-2943.35408298
43400,20096.054517,-10664.6987576,-234.387057795,-2943.3502835
43401,20150.3201917,-10626.9761686,-235.341426289,-2931.12046243
43402,16098.1759412,-16328.5582168,3611.32671299,-10938.6789661
43403,16098.3809833,-16329.1383263,3611.66199573,-10939.0454466
43404,11556.2881627,-22615.6913053,7563.05839042,-19443.3481763
43405,11556.3024252,-22615.6875074,7563.059283,-19443.3410544
43406,11873.0202378,-22351.5970574,7494.78257047,-19171.830957
43407,-6159.05749139,-37404.1838614,8588.3334682,6039.6810994
43408,15504.4460381,-17968.8741926,5187.61523306,-14607.6341633
43409,15526.8766054,-17911.7666579,5151.3022894,-14549.3245328
43410,9503.51669881,-20495.6741146,1265.91143539,-14065.1395664
43411,9567.30681778,-20527.8653281,1289.84959406,-14100.0981425
43412,17708.6418076,-11616.7036164,-1760.33705627,-4154.77653482
43413,3842.40454881,19141.2115517,17089.4352928,2510.00505016
43414,18231.8241102,-2463.64251473,-8282.34416623,1046.77805574
43415,3750.63184428,19077.5150567,16854.4214435,2568.62404529
